Timestamp,Query Volume,Query Rate,Query Type,Query Domain,Response Time,TTL Value,Source IP Address,Destination IP Address,Transaction ID,Query Size,Response Size,Entropy of Transaction ID,Frequency of Query Domain,Geolocation of Source IP,Anomaly Label
2024-12-10 13:00:00,61,2.87,MX,example.com,0.02,168,192.168.104.92,10.0.112.76,12256,45,391,0.53,83,AU,0
2024-12-10 13:01:00,299,1.06,CNAME,example.com,0.05,400,192.168.110.239,10.0.176.90,54176,24,494,0.69,85,DE,0
2024-12-10 13:02:00,108,4.33,AAAA,example.com,0.04,147,192.168.126.50,10.0.220.134,44551,45,214,0.57,6,DE,0
2024-12-10 13:03:00,163,4.94,NS,domain.edu,0.1,133,192.168.59.241,10.0.221.6,25680,21,294,0.65,69,US,0
2024-12-10 13:04:00,161,4.52,AAAA,sample.net,0.09,325,192.168.108.95,10.0.23.3,12610,41,288,0.85,59,AU,0
2024-12-10 13:05:00,172,3.92,MX,domain.edu,0.08,234,192.168.171.61,10.0.60.206,73160,47,487,0.8,34,DE,0
2024-12-10 13:06:00,241,2.7,NS,test.org,0.09,426,192.168.21.219,10.0.48.135,93568,28,475,0.62,52,US,0
2024-12-10 13:07:00,300,3.65,A,example.com,0.09,582,192.168.173.8,10.0.159.28,79039,49,125,0.99,80,DE,0
2024-12-10 13:08:00,275,3.0,MX,test.org,0.08,599,192.168.193.172,10.0.216.157,96256,25,417,0.56,44,AU,0
2024-12-10 13:09:00,110,0.21,MX,domain.edu,0.04,514,192.168.9.225,10.0.30.122,38840,41,367,0.87,96,GB,0
2024-12-10 13:10:00,123,2.16,NS,test.org,0.06,414,192.168.233.25,10.0.26.249,34878,36,325,0.76,53,CA,0
2024-12-10 13:11:00,67,0.28,NS,sample.net,0.07,275,192.168.42.252,10.0.220.136,65831,50,314,0.72,86,US,0
2024-12-10 13:12:00,222,2.47,AAAA,test.org,0.05,100,192.168.224.119,10.0.71.33,81902,43,141,0.62,14,AU,0
2024-12-10 13:13:00,129,0.64,A,sample.net,0.09,543,192.168.172.151,10.0.254.13,14658,22,309,0.67,14,US,0
2024-12-10 13:14:00,164,3.71,A,sample.net,0.02,564,192.168.48.120,10.0.34.175,19450,35,116,0.98,65,DE,1
2024-12-10 13:15:00,149,1.87,CNAME,sample.net,0.03,285,192.168.211.97,10.0.28.248,55885,22,174,0.99,75,AU,0
2024-12-10 13:16:00,238,4.67,A,test.org,0.03,283,192.168.179.245,10.0.159.213,73081,33,244,0.73,68,CA,0
2024-12-10 13:17:00,247,4.03,NS,example.com,0.06,193,192.168.149.123,10.0.165.96,73306,21,481,0.72,49,AU,0
2024-12-10 13:18:00,194,2.9,A,example.com,0.06,580,192.168.217.137,10.0.92.240,14722,21,257,0.8,56,US,0
2024-12-10 13:19:00,63,0.62,MX,test.org,0.07,216,192.168.253.195,10.0.244.250,80972,21,179,0.94,14,AU,0
2024-12-10 13:20:00,259,3.71,CNAME,example.com,0.04,153,192.168.173.99,10.0.231.60,13804,46,283,0.78,79,CA,0
2024-12-10 13:21:00,60,2.0,AAAA,domain.edu,0.07,571,192.168.16.184,10.0.201.222,25256,26,410,0.89,44,US,0
2024-12-10 13:22:00,101,3.4,AAAA,domain.edu,0.04,429,192.168.45.64,10.0.62.32,37740,32,341,0.81,99,US,0
2024-12-10 13:23:00,148,0.25,MX,sample.net,0.03,379,192.168.50.34,10.0.117.18,84240,33,143,0.89,92,GB,0
2024-12-10 13:24:00,286,4.57,CNAME,domain.edu,0.06,389,192.168.255.152,10.0.185.6,52375,33,117,0.55,59,CA,0
2024-12-10 13:25:00,257,2.75,MX,test.org,0.09,485,192.168.13.0,10.0.209.235,72839,34,121,0.99,48,GB,0
2024-12-10 13:26:00,120,2.12,AAAA,example.com,0.03,526,192.168.195.97,10.0.9.48,69585,38,114,0.9,64,DE,0
2024-12-10 13:27:00,139,3.49,MX,sample.net,0.01,535,192.168.92.42,10.0.87.103,77285,50,380,0.61,79,AU,0
2024-12-10 13:28:00,299,1.72,A,test.org,0.09,561,192.168.86.29,10.0.210.225,19928,41,379,0.75,2,CA,0
2024-12-10 13:29:00,285,3.62,AAAA,example.com,0.09,335,192.168.155.224,10.0.47.75,11108,44,141,0.8,6,GB,1
2024-12-10 13:30:00,80,1.82,CNAME,domain.edu,0.03,309,192.168.157.189,10.0.1.115,94724,45,257,0.81,50,AU,1
2024-12-10 13:31:00,95,1.42,AAAA,example.com,0.04,313,192.168.20.198,10.0.123.124,99144,45,477,0.74,36,US,0
2024-12-10 13:32:00,277,3.33,NS,example.com,0.03,571,192.168.197.57,10.0.87.147,43494,22,446,0.58,80,DE,0
2024-12-10 13:33:00,152,4.95,AAAA,domain.edu,0.03,526,192.168.56.112,10.0.28.253,26699,23,270,0.9,85,GB,0
2024-12-10 13:34:00,201,3.67,A,sample.net,0.05,498,192.168.228.171,10.0.117.28,71599,33,455,0.99,33,US,0
2024-12-10 13:35:00,174,2.68,A,sample.net,0.04,430,192.168.131.176,10.0.25.227,95214,43,432,0.63,35,GB,0
2024-12-10 13:36:00,69,3.05,A,test.org,0.06,388,192.168.133.244,10.0.26.9,47823,41,168,0.89,61,CA,0
2024-12-10 13:37:00,300,3.07,A,test.org,0.02,546,192.168.226.44,10.0.199.61,45756,48,422,0.9,18,GB,0
2024-12-10 13:38:00,282,2.67,CNAME,sample.net,0.07,240,192.168.124.84,10.0.73.231,12717,50,293,0.89,46,GB,0
2024-12-10 13:39:00,235,4.7,CNAME,sample.net,0.02,350,192.168.203.105,10.0.194.22,97665,48,292,0.58,9,GB,0
2024-12-10 13:40:00,221,0.53,MX,sample.net,0.07,265,192.168.186.104,10.0.93.179,41753,28,234,0.85,89,US,0
2024-12-10 13:41:00,120,3.7,MX,domain.edu,0.07,283,192.168.238.4,10.0.150.5,24950,34,169,0.77,77,DE,0
2024-12-10 13:42:00,249,3.66,CNAME,example.com,0.02,110,192.168.127.1,10.0.214.17,58380,20,155,0.55,36,US,0
2024-12-10 13:43:00,291,4.01,MX,example.com,0.06,130,192.168.68.218,10.0.188.200,59759,33,237,0.56,39,AU,0
2024-12-10 13:44:00,174,1.03,AAAA,domain.edu,0.03,200,192.168.207.160,10.0.41.9,40837,40,211,0.6,68,US,0
2024-12-10 13:45:00,78,0.71,AAAA,example.com,0.05,110,192.168.169.110,10.0.168.34,73037,33,204,0.77,82,DE,1
2024-12-10 13:46:00,130,1.62,AAAA,test.org,0.03,416,192.168.117.105,10.0.99.232,64837,45,340,0.73,35,DE,0
2024-12-10 13:47:00,62,2.9,A,domain.edu,0.04,104,192.168.197.7,10.0.244.77,34881,43,269,0.91,84,DE,1
2024-12-10 13:48:00,63,0.8,MX,test.org,0.08,419,192.168.132.18,10.0.80.153,13415,45,355,0.59,95,US,0
2024-12-10 13:49:00,149,2.46,A,domain.edu,0.08,313,192.168.219.102,10.0.34.161,43539,40,418,0.56,35,GB,0
2024-12-10 13:50:00,290,3.48,CNAME,domain.edu,0.05,250,192.168.136.229,10.0.42.73,86636,23,235,0.93,11,GB,0
2024-12-10 13:51:00,151,2.7,A,domain.edu,0.03,295,192.168.115.210,10.0.217.133,59718,44,233,0.58,87,DE,0
2024-12-10 13:52:00,139,1.31,AAAA,test.org,0.04,524,192.168.14.56,10.0.111.167,25281,35,143,0.7,31,CA,0
2024-12-10 13:53:00,147,1.94,A,domain.edu,0.05,425,192.168.234.245,10.0.16.195,53010,27,443,0.63,10,DE,0
2024-12-10 13:54:00,141,4.29,CNAME,example.com,0.04,447,192.168.255.115,10.0.152.150,30570,49,319,0.6,67,AU,0
2024-12-10 13:55:00,261,3.95,NS,test.org,0.06,337,192.168.5.230,10.0.0.81,82858,40,107,0.57,43,GB,0
2024-12-10 13:56:00,68,3.3,A,test.org,0.08,374,192.168.76.192,10.0.152.50,98111,26,253,0.5,4,AU,0
2024-12-10 13:57:00,271,4.69,A,domain.edu,0.04,226,192.168.92.239,10.0.249.121,46703,31,291,0.74,26,US,0
2024-12-10 13:58:00,93,2.12,CNAME,example.com,0.02,531,192.168.48.185,10.0.118.178,64153,32,126,0.96,40,AU,0
2024-12-10 13:59:00,208,2.06,CNAME,test.org,0.08,241,192.168.168.111,10.0.79.142,85042,48,494,0.62,97,US,0
2024-12-10 14:00:00,187,3.43,MX,example.com,0.04,450,192.168.175.202,10.0.135.54,96763,47,383,0.98,60,US,0
2024-12-10 14:01:00,273,3.53,A,domain.edu,0.06,117,192.168.31.166,10.0.58.19,91039,45,183,0.72,3,DE,0
2024-12-10 14:02:00,281,4.66,AAAA,test.org,0.1,167,192.168.163.199,10.0.29.6,18109,50,243,0.64,74,US,0
2024-12-10 14:03:00,111,4.19,MX,domain.edu,0.01,199,192.168.148.233,10.0.38.136,78245,27,435,0.63,10,GB,0
2024-12-10 14:04:00,94,2.33,MX,domain.edu,0.07,109,192.168.13.179,10.0.247.210,90758,26,142,0.69,75,CA,0
2024-12-10 14:05:00,60,4.8,NS,domain.edu,0.07,526,192.168.229.146,10.0.151.232,85044,38,328,0.57,92,AU,0
2024-12-10 14:06:00,194,1.56,NS,domain.edu,0.08,233,192.168.0.40,10.0.213.187,96406,50,495,0.87,4,CA,0
2024-12-10 14:07:00,192,0.59,CNAME,domain.edu,0.1,578,192.168.31.204,10.0.101.165,71770,43,221,0.63,97,US,0
2024-12-10 14:08:00,87,4.6,AAAA,sample.net,0.03,449,192.168.227.148,10.0.227.153,27624,20,240,0.79,49,GB,0
2024-12-10 14:09:00,132,1.82,AAAA,domain.edu,0.03,170,192.168.193.1,10.0.251.159,16821,29,277,0.64,77,DE,0
2024-12-10 14:10:00,129,0.19,MX,test.org,0.01,366,192.168.193.245,10.0.72.77,30502,20,293,0.91,36,US,0
2024-12-10 14:11:00,190,2.81,MX,test.org,0.02,555,192.168.109.192,10.0.94.0,49474,43,492,0.71,75,GB,0
2024-12-10 14:12:00,80,2.6,MX,example.com,0.03,182,192.168.235.38,10.0.62.84,58600,25,469,0.7,78,CA,0
2024-12-10 14:13:00,194,2.14,CNAME,test.org,0.09,337,192.168.221.213,10.0.108.118,34420,29,339,0.95,86,CA,0
2024-12-10 14:14:00,129,0.5,AAAA,domain.edu,0.06,240,192.168.180.114,10.0.70.194,69607,44,254,0.65,72,CA,0
2024-12-10 14:15:00,268,4.99,MX,sample.net,0.03,561,192.168.245.131,10.0.5.218,35626,38,208,0.5,31,DE,0
2024-12-10 14:16:00,269,1.73,MX,example.com,0.02,309,192.168.251.155,10.0.78.183,13941,48,357,0.94,43,CA,0
